Year,mean_temp,ice_extent
1979,6.841666666666668,12.349634226190474
1980,6.625,12.349545238095237
1981,7.141666666666667,12.147229563492063
1982,6.816666666666667,12.467336111111111
1983,7.766666666666667,12.353094890873017
1984,7.291666666666667,11.920382291666668
1985,7.2,12.015834871031744
1986,7.533333333333332,12.22454816468254
1987,8.516666666666667,12.183318484383001
1988,7.841666666666666,12.201615706535527
1989,7.016666666666668,11.986787922427036
1990,8.716666666666667,11.716385151049666
1991,8.883333333333335,11.770302272145416
1992,7.025000000000001,12.121065161908293
1993,7.174999999999998,11.945253840245776
1994,7.341666666666669,12.0322094406042
1995,7.783333333333334,11.437962551203276
1996,7.150000000000001,11.8503268508219
1997,7.558333333333333,11.689949039938556
1998,10.133333333333335,11.780257341269843
1999,9.458333333333334,11.712602649769586
2000,8.25,11.518993366085773
2001,9.641666666666667,11.621887621607783
2002,9.41666666666667,11.385819636456732
2003,7.908333333333334,11.419147747055812
2004,8.233333333333334,11.251585820664937
2005,9.016666666666666,10.927786392729134
2006,9.700000000000001,10.793885554275471
2007,8.908333333333333,10.499132930107526
2008,8.225000000000001,10.990294255963414
2009,7.9750000000000005,10.955518477982592
2010,9.541666666666666,10.734207398873528
2011,9.091666666666667,10.507405126728111
2012,10.5,10.41933482882215
2013,8.591180014831295,10.920494015616997
2014,7.4514784946236565,10.81246966205837
2015,8.553507424475166,10.588599270353305
2016,10.079705846001731,10.176126205042639
2017,9.299994703109277,10.415373348694317
2018,9.351990932270423,10.377886245519715
